model,rmse,mae,r2_score,mape,run_id
XGBoost_Regressor,580.7729494475493,160.93549475247139,0.9944262769991117,4.747629845183113,9756162c8a73488e8137b870b63d5dcc
Random_Forest_Regressor,850.9465212269633,202.182241860888,0.9880343262953074,4.933660306517637,4fd83d0972f543e3aeff7f7adcab18e5
Decision_Tree_Regressor,1153.6208633702847,379.14166910981055,0.9780082988655527,7.222314797618007,aec9ffc05179464699d4469d52f00220
Linear_Regression,4101.657336895714,2920.5195754246884,0.7219957902794805,189.0233288506129,519027ada02b484eb15a5ca4a49b2a6f
